4.999998e-01 -5.000000e-04  4.999998e-01 -5.000000e-04  
4.999973e-01 -9.999989e-04  4.999973e-01 -9.999989e-04  
4.999828e-01 -1.499983e-03  4.999828e-01 -1.499983e-03  
4.999372e-01 -1.999901e-03  4.999372e-01 -1.999901e-03  
4.998324e-01 -2.499633e-03  4.998324e-01 -2.499633e-03  
4.996313e-01 -2.998969e-03  4.996313e-01 -2.998969e-03  
4.992886e-01 -3.497577e-03  4.992886e-01 -3.497577e-03  
4.987509e-01 -3.994981e-03  4.987509e-01 -3.994981e-03  
4.979569e-01 -4.490538e-03  4.979569e-01 -4.490538e-03  
4.968380e-01 -4.983416e-03  4.968380e-01 -4.983416e-03  
4.953191e-01 -5.472569e-03  4.953191e-01 -5.472569e-03  
4.933186e-01 -5.956723e-03  4.933186e-01 -5.956723e-03  
4.907493e-01 -6.434360e-03  4.907493e-01 -6.434360e-03  
4.875195e-01 -6.903702e-03  4.875195e-01 -6.903702e-03  
4.835338e-01 -7.362702e-03  4.835338e-01 -7.362702e-03  
4.786940e-01 -7.809046e-03  4.786940e-01 -7.809046e-03  
4.729008e-01 -8.240144e-03  4.729008e-01 -8.240144e-03  
4.660548e-01 -8.653146e-03  4.660548e-01 -8.653146e-03  
4.580590e-01 -9.044950e-03  4.580590e-01 -9.044950e-03  
4.488198e-01 -9.412229e-03  4.488198e-01 -9.412229e-03  
4.382495e-01 -9.751458e-03  4.382495e-01 -9.751458e-03  
4.262687e-01 -1.005896e-02  4.262687e-01 -1.005896e-02  
4.128082e-01 -1.033094e-02  4.128082e-01 -1.033094e-02  
3.978114e-01 -1.056358e-02  3.978114e-01 -1.056358e-02  
3.812369e-01 -1.075306e-02  3.812369e-01 -1.075306e-02  
3.630609e-01 -1.089566e-02  3.630609e-01 -1.089566e-02  
3.432787e-01 -1.098784e-02  3.432787e-01 -1.098784e-02  
3.219071e-01 -1.102634e-02  3.219071e-01 -1.102634e-02  
2.989855e-01 -1.100826e-02  2.989855e-01 -1.100826e-02  
2.745772e-01 -1.093111e-02  2.745772e-01 -1.093111e-02  
2.487694e-01 -1.079298e-02  2.487694e-01 -1.079298e-02  
2.216733e-01 -1.059253e-02  2.216733e-01 -1.059253e-02  
1.934231e-01 -1.032911e-02  1.934231e-01 -1.032911e-02  
1.641741e-01 -1.000280e-02  1.641741e-01 -1.000280e-02  
1.341005e-01 -9.614414e-03  1.341005e-01 -9.614414e-03  
1.033925e-01 -9.165546e-03  1.033925e-01 -9.165546e-03  
7.225216e-02 -8.658537e-03  7.225216e-02 -8.658537e-03  
4.088979e-02 -8.096446e-03  4.088979e-02 -8.096446e-03  
9.519180e-03 -7.482992e-03  9.519180e-03 -7.482992e-03  
-2.164690e-02 -6.822471e-03  -2.164690e-02 -6.822471e-03  
-5.240124e-02 -6.119669e-03  -5.240124e-02 -6.119669e-03  
-8.254659e-02 -5.379743e-03  -8.254659e-02 -5.379743e-03  
-1.118996e-01 -4.608105e-03  -1.118996e-01 -4.608105e-03  
-1.402941e-01 -3.810303e-03  -1.402941e-01 -3.810303e-03  
-1.675841e-01 -2.991894e-03  -1.675841e-01 -2.991894e-03  
-1.936456e-01 -2.158329e-03  -1.936456e-01 -2.158329e-03  
-2.183779e-01 -1.314849e-03  -2.183779e-01 -1.314849e-03  
-2.417041e-01 -4.663904e-04  -2.417041e-01 -4.663904e-04  
-2.635707e-01 3.824894e-04  -2.635707e-01 3.824894e-04  
-2.839469e-01 1.227671e-03  -2.839469e-01 1.227671e-03  
-3.028230e-01 2.065513e-03  -3.028230e-01 2.065513e-03  
-3.202086e-01 2.892876e-03  -3.202086e-01 2.892876e-03  
-3.361301e-01 3.707124e-03  -3.361301e-01 3.707124e-03  
-3.506285e-01 4.506120e-03  -3.506285e-01 4.506120e-03  
-3.637568e-01 5.288200e-03  -3.637568e-01 5.288200e-03  
-3.755774e-01 6.052141e-03  -3.755774e-01 6.052141e-03  
-3.861596e-01 6.797119e-03  -3.861596e-01 6.797119e-03  
-3.955770e-01 7.522664e-03  -3.955770e-01 7.522664e-03  
-4.039061e-01 8.228608e-03  -4.039061e-01 8.228608e-03  
-4.112232e-01 8.915030e-03  -4.112232e-01 8.915030e-03  
-4.176039e-01 9.582206e-03  -4.176039e-01 9.582206e-03  
-4.231207e-01 1.023055e-02  -4.231207e-01 1.023055e-02  
-4.278422e-01 1.086058e-02  -4.278422e-01 1.086058e-02  
-4.318321e-01 1.147285e-02  -4.318321e-01 1.147285e-02  
-4.351480e-01 1.206791e-02  -4.351480e-01 1.206791e-02  
-4.378414e-01 1.264627e-02  -4.378414e-01 1.264627e-02  
-4.399567e-01 1.320838e-02  -4.399567e-01 1.320838e-02  
-4.415311e-01 1.375454e-02  -4.415311e-01 1.375454e-02  
-4.425947e-01 1.428494e-02  -4.425947e-01 1.428494e-02  
-4.431699e-01 1.479956e-02  -4.431699e-01 1.479956e-02  
-4.432719e-01 1.529821e-02  -4.432719e-01 1.529821e-02  
-4.429084e-01 1.578047e-02  -4.429084e-01 1.578047e-02  
-4.420802e-01 1.624568e-02  -4.420802e-01 1.624568e-02  
-4.407813e-01 1.669292e-02  -4.407813e-01 1.669292e-02  
-4.389992e-01 1.712103e-02  -4.389992e-01 1.712103e-02  
-4.367152e-01 1.752855e-02  -4.367152e-01 1.752855e-02  
-4.339051e-01 1.791375e-02  -4.339051e-01 1.791375e-02  
-4.305397e-01 1.827462e-02  -4.305397e-01 1.827462e-02  
-4.265849e-01 1.860887e-02  -4.265849e-01 1.860887e-02  
-4.220033e-01 1.891396e-02  -4.220033e-01 1.891396e-02  
-4.167539e-01 1.918708e-02  -4.167539e-01 1.918708e-02  
-4.107939e-01 1.942518e-02  -4.107939e-01 1.942518e-02  
-4.040787e-01 1.962504e-02  -4.040787e-01 1.962504e-02  
-3.965639e-01 1.978324e-02  -3.965639e-01 1.978324e-02  
-3.882053e-01 1.989621e-02  -3.882053e-01 1.989621e-02  
