-2.663704e-03 -7.973363e+00 
-1.327422e-02 -1.586725e+01 
-3.175228e-02 -2.368237e+01 
-5.801904e-02 -3.141923e+01 
-9.199525e-02 -3.907798e+01 
-1.336001e-01 -4.665826e+01 
-1.827497e-01 -5.415908e+01 
-2.393548e-01 -6.157872e+01 
-3.033188e-01 -6.891454e+01 
-3.745346e-01 -7.616293e+01 
-4.528819e-01 -8.331921e+01 
-5.382238e-01 -9.037747e+01 
-6.304029e-01 -9.733056e+01 
-7.292382e-01 -1.041700e+02 
-8.345204e-01 -1.108858e+02 
-9.460083e-01 -1.174667e+02 
-1.063425e+00 -1.238999e+02 
-1.186453e+00 -1.301710e+02 
-1.314731e+00 -1.362645e+02 
-1.447853e+00 -1.421633e+02 
-1.585359e+00 -1.478489e+02 
-1.726740e+00 -1.533019e+02 
-1.871431e+00 -1.585016e+02 
-2.018812e+00 -1.634268e+02 
-2.168208e+00 -1.680553e+02 
-2.318892e+00 -1.723649e+02 
-2.470083e+00 -1.763331e+02 
-2.620955e+00 -1.799379e+02 
-2.770639e+00 -1.831575e+02 
-2.918230e+00 -1.859716e+02 
-3.062798e+00 -1.883608e+02 
-3.203391e+00 -1.903076e+02 
-3.339051e+00 -1.917966e+02 
-3.468823e+00 -1.928147e+02 
-3.591766e+00 -1.933517e+02 
-3.706965e+00 -1.934001e+02 
-3.813546e+00 -1.929558e+02 
-3.910681e+00 -1.920179e+02 
-3.997606e+00 -1.905890e+02 
-4.073627e+00 -1.886748e+02 
-4.138125e+00 -1.862847e+02 
-4.190569e+00 -1.834310e+02 
-4.230516e+00 -1.801290e+02 
-4.257613e+00 -1.763968e+02 
-4.271602e+00 -1.722547e+02 
-4.272313e+00 -1.677251e+02 
-4.259666e+00 -1.628321e+02 
-4.233661e+00 -1.576008e+02 
-4.194379e+00 -1.520574e+02 
-4.141966e+00 -1.462285e+02 
-4.076633e+00 -1.401407e+02 
-3.998642e+00 -1.338205e+02 
-3.908302e+00 -1.272940e+02 
-3.805957e+00 -1.205862e+02 
-3.691979e+00 -1.137215e+02 
-3.566761e+00 -1.067228e+02 
-3.430709e+00 -9.961212e+01 
-3.284235e+00 -9.240983e+01 
-3.127757e+00 -8.513504e+01 
-2.961684e+00 -7.780541e+01 
-2.786423e+00 -7.043723e+01 
-2.602371e+00 -6.304541e+01 
-2.409912e+00 -5.564361e+01 
-2.209420e+00 -4.824426e+01 
-2.001255e+00 -4.085868e+01 
-1.785765e+00 -3.349721e+01 
-1.563286e+00 -2.616929e+01 
-1.334147e+00 -1.888359e+01 
-1.098666e+00 -1.164816e+01 
-8.571573e-01 -4.470493e+00 
-6.099342e-01 2.642269e+00 
-3.573100e-01 9.683281e+00 
-9.960297e-02 1.664585e+01 
1.628596e-01 2.352332e+01 
